"Sport","Game_Type","Entry_Key","Entry","Contest_Key","Contest_Date_EST","Place","Points","Winnings_Non_Ticket","Winnings_Ticket","Contest_Entries","Entry_Fee","Prize_Pool","Places_Paid"
"NHL","Classic",3018255189,"NHL $1.5K Quarter Jukebox [Just $0.25!]",120168357,"2021-12-09 19:00:00",97,134.5,"$1.00","$0.00",7134,"$0.25","$1,500.00",1706
"NHL","Classic",3018076536,"Casual NHL $100 Sniper",120168360,"2021-12-09 19:00:00",4,112,"$12.00","$0.00",30,"$3.00","$100.00",8
"NHL","Classic",3018976774,"NHL $500 Quarter Jukebox [Just $0.25!] (Late)",120174762,"2021-12-09 21:00:00",402,108.6,"$0.50","$0.00",1850,"$0.25","$500.00",536
"NBA","Classic",3018578715,"NBA $2K Quarter Jukebox [Just $0.25!] (Night) (1/2)",120194536,"2021-12-09 20:00:00",579,285.25,"$0.75","$0.00",9512,"$0.25","$2,000.00",2266
"NBA","Classic",3018804828,"NBA $2K Quarter Jukebox [Just $0.25!] (Night) (2/2)",120194536,"2021-12-09 20:00:00",579,285.25,"$0.75","$0.00",9512,"$0.25","$2,000.00",2266
"NBA","Classic",3017840447,"Casual NBA $1 50-50",120195159,"2021-12-09 19:00:00",5,251.75,"$1.80","$0.00",10,"$1.00","$9.00",5
"NBA","Classic",3017864040,"Casual NBA $2 5-Player",120195164,"2021-12-09 19:00:00",2,255.75,"$3.00","$0.00",5,"$2.00","$9.00",2
"NBA","Showdown Captain Mode",3017055005,"NBA Showdown $3K Quarter Jukebox [Just $0.25!] (BOS vs LAC) (1/2)",120118028,"2021-12-08 22:30:00",1,255.5,"$16.76","$0.00",14268,"$0.25","$3,000.00",3419
"NBA","Showdown Captain Mode",3017065416,"NBA Showdown $3K Quarter Jukebox [Just $0.25!] (BOS vs LAC) (2/2)",120118028,"2021-12-08 22:30:00",1120,232.5,"$0.72","$0.00",14268,"$0.25","$3,000.00",3419
"NBA","Classic",3016884838,"NBA $3K Quarter Jukebox [Just $0.25!] (Night) (2/2)",120118010,"2021-12-08 22:00:00",434,308,"$1.00","$0.00",14268,"$0.25","$3,000.00",3419
"NBA","Classic",3016873256,"NBA $3K Quarter Jukebox [Just $0.25!] (Night) (1/2)",120118010,"2021-12-08 22:00:00",3805,277.5,"$0.00","$0.00",14268,"$0.25","$3,000.00",3419
"NBA","Classic",3016590402,"NBA $8K Quarter Jukebox (2/4)",120117916,"2021-12-08 19:00:00",1542,283.75,"$0.75","$0.00",38049,"$0.25","$8,000.00",9115
"NBA","Classic",3016717732,"NBA $8K Quarter Jukebox (3/4)",120117916,"2021-12-08 19:00:00",4218,270.5,"$0.50","$0.00",38049,"$0.25","$8,000.00",9115
"NBA","Classic",3016725810,"NBA $8K Quarter Jukebox (4/4)",120117916,"2021-12-08 19:00:00",4218,270.5,"$0.50","$0.00",38049,"$0.25","$8,000.00",9115
"NBA","Classic",3016580330,"NBA $8K Quarter Jukebox (1/4)",120117916,"2021-12-08 19:00:00",17953,240.25,"$0.00","$0.00",38049,"$0.25","$8,000.00",9115
"NBA","Classic",3015952838,"Casual NBA $1 50-50",120118624,"2021-12-08 19:00:00",2,261.75,"$1.80","$0.00",10,"$1.00","$9.00",5
"NBA","Classic",3016531462,"Casual NBA $2 5-Player",120139193,"2021-12-08 19:00:00",1,270.5,"$6.00","$0.00",5,"$2.00","$9.00",2
"NHL","Classic",3015815747,"NHL $100 Dime Time [Just $0.10!] (Late)",120116022,"2021-12-07 21:00:00",897,73.3,"$0.00","$0.00",1189,"$0.10","$100.00",277
"NHL","Classic",3015521174,"NHL $1.5K Quarter Jukebox [Just $0.25!]",120055326,"2021-12-07 19:00:00",4621,88.7,"$0.00","$0.00",7134,"$0.25","$1,500.00",1706
"NHL","Classic",3015521503,"Casual NHL $1 50-50",120056039,"2021-12-07 19:00:00",2,129.2,"$1.80","$0.00",10,"$1.00","$9.00",5
"NBA","Classic",3015545437,"NBA $8K Quarter Jukebox (3/3)",120056478,"2021-12-07 19:30:00",1247,266.5,"$0.75","$0.00",38049,"$0.25","$8,000.00",9115
"NBA","Classic",3015442874,"NBA $8K Quarter Jukebox (1/3)",120056478,"2021-12-07 19:30:00",7504,243,"$0.50","$0.00",38049,"$0.25","$8,000.00",9115
"NBA","Classic",3015442875,"NBA $8K Quarter Jukebox (2/3)",120056478,"2021-12-07 19:30:00",18256,223.75,"$0.00","$0.00",38049,"$0.25","$8,000.00",9115
"NBA","Classic",3015420823,"Casual NBA $2 5-Player",120056980,"2021-12-07 19:30:00",1,243,"$6.00","$0.00",5,"$2.00","$9.00",2
"NBA","Classic",3015423118,"Casual NBA $1 50-50",120095389,"2021-12-07 19:30:00",2,232.75,"$1.80","$0.00",10,"$1.00","$9.00",5
